,Store/Product,MAPE,R^2
211,Store_15 - GROCERY_II,105.06,0.05545
212,Store_15 - HARDWARE,50.05,0.00942
213,Store_15 - HOME_AND_KITCHEN_I,136.73,0.01684
214,Store_15 - HOME_AND_KITCHEN_II,27.29,0.07005
215,Store_15 - HOME_APPLIANCES,40.94,0.00012
216,Store_15 - HOME_CARE,18.36,0.36062
217,Store_15 - LADIESWEAR,74.2,0.39202
218,Store_15 - LAWN_AND_GARDEN,,
219,Store_15 - LINGERIE,146.08,0.06149
220,Store_15 - LIQUOR_WINE_BEER,30.86,0.69817
221,Store_15 - MAGAZINES,49.49,0.03969
222,Store_15 - MEATS,20.31,0.57868
223,Store_15 - PERSONAL_CARE,19.61,0.25111
224,Store_15 - PET_SUPPLIES,116.3,0.14221
225,Store_15 - PLAYERS_AND_ELECTRONICS,76.02,0.02216
226,Store_15 - POULTRY,13.76,0.32868
227,Store_15 - PREPARED_FOODS,21.91,0.15468
228,Store_15 - PRODUCE,12.43,0.89608
229,Store_15 - SCHOOL_AND_OFFICE_SUPPLIES,32.62,0.69217
230,Store_15 - SEAFOOD,87.8,0.08714
231,Store_16 - AUTOMOTIVE,94.38,0.18726
232,Store_16 - BABY_CARE,54.48,0.01193
233,Store_16 - BEAUTY,50.76,0.17033
234,Store_16 - BEVERAGES,18.42,0.07347
235,Store_16 - BOOKS,,
236,Store_16 - BREAD/BAKERY,15.24,0.59067
237,Store_16 - CELEBRATION,144.95,0.13594
238,Store_16 - CLEANING,57.07,0.00035
239,Store_16 - DAIRY,11.12,0.66203
240,Store_16 - DELI,17.59,0.56237
241,Store_16 - EGGS,25.98,0.85998
242,Store_16 - FROZEN_FOODS,34.0,0.78998
243,Store_16 - GROCERY_I,12.63,0.53649
244,Store_16 - GROCERY_II,103.26,0.11226
245,Store_16 - HARDWARE,106.09,0.11706
246,Store_16 - HOME_AND_KITCHEN_I,88.04,0.05635
247,Store_16 - HOME_AND_KITCHEN_II,32.84,0.14311
248,Store_16 - HOME_APPLIANCES,37.52,0.00178
249,Store_16 - HOME_CARE,25.33,0.30911
250,Store_16 - LADIESWEAR,,
251,Store_16 - LAWN_AND_GARDEN,,
252,Store_16 - LINGERIE,58.27,0.04235
253,Store_16 - LIQUOR_WINE_BEER,68.17,0.65045
254,Store_16 - MAGAZINES,48.73,0.03048
255,Store_16 - MEATS,23.75,0.23625
256,Store_16 - PERSONAL_CARE,19.35,0.49925
257,Store_16 - PET_SUPPLIES,58.01,0.03576
258,Store_16 - PLAYERS_AND_ELECTRONICS,56.31,0.01583
259,Store_16 - POULTRY,20.19,0.04699
260,Store_16 - PREPARED_FOODS,23.98,0.38306
261,Store_16 - PRODUCE,10.8,0.89121
262,Store_16 - SCHOOL_AND_OFFICE_SUPPLIES,,
263,Store_16 - SEAFOOD,50.4,0.32517
264,Store_17 - AUTOMOTIVE,82.8,0.263
265,Store_17 - BABY_CARE,69.04,0.02298
266,Store_17 - BEAUTY,123.01,0.02642
267,Store_17 - BEVERAGES,10.83,0.7507
268,Store_17 - BOOKS,,
269,Store_17 - BREAD/BAKERY,14.98,0.66942
270,Store_17 - CELEBRATION,82.93,0.00424
271,Store_17 - CLEANING,19.36,0.31854
272,Store_17 - DAIRY,13.96,0.64974
273,Store_17 - DELI,14.38,0.35857
274,Store_17 - EGGS,24.08,0.60727
275,Store_17 - FROZEN_FOODS,20.63,0.75304
276,Store_17 - GROCERY_I,14.0,0.5881
277,Store_17 - GROCERY_II,42.35,0.14637
278,Store_17 - HARDWARE,45.4,0.496
279,Store_17 - HOME_AND_KITCHEN_I,23.78,0.32721
280,Store_17 - HOME_AND_KITCHEN_II,20.18,0.37366
281,Store_17 - HOME_APPLIANCES,329.98,0.00012
282,Store_17 - HOME_CARE,17.34,0.48623
283,Store_17 - LADIESWEAR,980.15,0.11815
284,Store_17 - LAWN_AND_GARDEN,,
285,Store_17 - LINGERIE,66.24,0.04968
286,Store_17 - LIQUOR_WINE_BEER,36.96,0.8286
287,Store_17 - MAGAZINES,58.57,0.01109
288,Store_17 - MEATS,15.28,0.42077
289,Store_17 - PERSONAL_CARE,16.67,0.5124
290,Store_17 - PET_SUPPLIES,66.64,0.11944
291,Store_17 - PLAYERS_AND_ELECTRONICS,56.59,0.0762
292,Store_17 - POULTRY,15.29,0.26848
293,Store_17 - PREPARED_FOODS,18.94,0.18651
294,Store_17 - PRODUCE,12.16,0.86131
295,Store_17 - SCHOOL_AND_OFFICE_SUPPLIES,28.31,0.80053
296,Store_17 - SEAFOOD,51.65,0.5124
297,Store_18 - AUTOMOTIVE,39.3,0.36141
298,Store_18 - BABY_CARE,81.7,0.02074
299,Store_18 - BEAUTY,64.28,0.24248
300,Store_18 - BEVERAGES,18.74,0.56971
301,Store_18 - BOOKS,,
302,Store_18 - BREAD/BAKERY,10.86,0.75445
303,Store_18 - CELEBRATION,49.59,0.05149
304,Store_18 - CLEANING,15.5,0.54401
305,Store_18 - DAIRY,18.88,0.59804
306,Store_18 - DELI,29.99,0.18966
307,Store_18 - EGGS,21.0,0.51703
308,Store_18 - FROZEN_FOODS,18.08,0.42723
309,Store_18 - GROCERY_I,11.17,0.48294
310,Store_18 - GROCERY_II,37.17,0.22365
311,Store_18 - HARDWARE,71.3,0.02808
312,Store_18 - HOME_AND_KITCHEN_I,120.06,0.01841
313,Store_18 - HOME_AND_KITCHEN_II,29.73,0.39039
314,Store_18 - HOME_APPLIANCES,360.56,0.03646
315,Store_18 - HOME_CARE,17.15,0.59223
316,Store_18 - LADIESWEAR,74.74,0.52326
317,Store_18 - LAWN_AND_GARDEN,101.86,0.00016
318,Store_18 - LINGERIE,71.1,0.31601
319,Store_18 - LIQUOR_WINE_BEER,46.2,0.62019
320,Store_18 - MAGAZINES,41.03,0.01399
321,Store_18 - MEATS,31.38,0.49289
322,Store_18 - PERSONAL_CARE,23.56,0.57942
323,Store_18 - PET_SUPPLIES,76.91,0.43066
324,Store_18 - PLAYERS_AND_ELECTRONICS,45.15,0.31585
325,Store_18 - POULTRY,37.93,0.38666
326,Store_18 - PREPARED_FOODS,24.32,0.24366
327,Store_18 - PRODUCE,13.36,0.92527
328,Store_18 - SCHOOL_AND_OFFICE_SUPPLIES,43.92,0.00164
329,Store_18 - SEAFOOD,25.84,0.22946
330,Store_19 - AUTOMOTIVE,67.66,0.01122
331,Store_19 - BABY_CARE,71.59,0.00297
332,Store_19 - BEAUTY,47.08,0.15472
333,Store_19 - BEVERAGES,10.42,0.62807
334,Store_19 - BOOKS,,
335,Store_19 - BREAD/BAKERY,16.63,0.38471
336,Store_19 - CELEBRATION,131.15,0.44795
337,Store_19 - CLEANING,15.07,0.6261
338,Store_19 - DAIRY,15.5,0.4073
339,Store_19 - DELI,14.53,0.43213
340,Store_19 - EGGS,40.88,0.48207
341,Store_19 - FROZEN_FOODS,33.31,0.00778
342,Store_19 - GROCERY_I,8.36,0.8064
343,Store_19 - GROCERY_II,1018.74,0.27608
344,Store_19 - HARDWARE,54.32,0.33162
345,Store_19 - HOME_AND_KITCHEN_I,49.18,0.00046
346,Store_19 - HOME_AND_KITCHEN_II,44.94,0.03817
347,Store_19 - HOME_APPLIANCES,84.02,0.13608
348,Store_19 - HOME_CARE,18.87,0.53988
349,Store_19 - LADIESWEAR,65.48,0.37716
350,Store_19 - LAWN_AND_GARDEN,,
351,Store_19 - LINGERIE,190.46,0.00507
352,Store_19 - LIQUOR_WINE_BEER,41.87,0.58908
353,Store_19 - MAGAZINES,65.91,0.00056
354,Store_19 - MEATS,13.76,0.38364
355,Store_19 - PERSONAL_CARE,12.79,0.70735
356,Store_19 - PET_SUPPLIES,54.57,0.03173
357,Store_19 - PLAYERS_AND_ELECTRONICS,69.34,0.10533
358,Store_19 - POULTRY,20.53,0.90318
359,Store_19 - PREPARED_FOODS,34.76,0.24281
360,Store_19 - PRODUCE,14.72,0.37634
361,Store_19 - SCHOOL_AND_OFFICE_SUPPLIES,71.03,0.64484
362,Store_19 - SEAFOOD,56.02,0.0521
363,Store_2 - AUTOMOTIVE,57.14,0.04696
364,Store_2 - BABY_CARE,,
365,Store_2 - BEAUTY,25.66,0.08918
366,Store_2 - BEVERAGES,16.97,0.33561
367,Store_2 - BOOKS,,
368,Store_2 - BREAD/BAKERY,11.54,0.36856
369,Store_2 - CELEBRATION,55.51,0.20573
370,Store_2 - CLEANING,22.48,0.30071
371,Store_2 - DAIRY,13.94,0.44915
372,Store_2 - DELI,15.51,0.57874
373,Store_2 - EGGS,9.05,0.81196
374,Store_2 - FROZEN_FOODS,21.86,0.28315
375,Store_2 - GROCERY_I,57.03,0.09703
376,Store_2 - GROCERY_II,79.48,0.23799
377,Store_2 - HARDWARE,59.95,0.04678
378,Store_2 - HOME_AND_KITCHEN_I,21.48,0.44442
379,Store_2 - HOME_AND_KITCHEN_II,52.55,0.26764
380,Store_2 - HOME_APPLIANCES,648.04,0.12309
381,Store_2 - HOME_CARE,38.68,0.17764
382,Store_2 - LADIESWEAR,44.56,0.52734
383,Store_2 - LAWN_AND_GARDEN,50.25,0.23682
384,Store_2 - LINGERIE,89.69,0.30442
385,Store_2 - LIQUOR_WINE_BEER,17.13,0.81859
386,Store_2 - MAGAZINES,57.28,0.15845
387,Store_2 - MEATS,20.38,0.72782
388,Store_2 - PERSONAL_CARE,30.11,0.18724
389,Store_2 - PET_SUPPLIES,68.46,0.03622
390,Store_2 - PLAYERS_AND_ELECTRONICS,42.36,0.21485
391,Store_2 - POULTRY,13.02,0.65355
392,Store_2 - PREPARED_FOODS,16.89,0.08769
393,Store_2 - PRODUCE,11.91,0.64601
394,Store_2 - SCHOOL_AND_OFFICE_SUPPLIES,,
395,Store_2 - SEAFOOD,14.66,0.41641
396,Store_20 - AUTOMOTIVE,75.85,0.03184
397,Store_20 - BABY_CARE,579.85,0.00124
398,Store_20 - BEAUTY,72.19,0.06148
399,Store_20 - BEVERAGES,17.39,0.60225
400,Store_20 - BOOKS,,
401,Store_20 - BREAD/BAKERY,15.55,0.71179
402,Store_20 - CELEBRATION,70.6,0.55656
403,Store_20 - CLEANING,66.58,0.53276
404,Store_20 - DAIRY,14.71,0.74186
405,Store_20 - DELI,14.29,0.7201
406,Store_20 - EGGS,35.73,0.48192
407,Store_20 - FROZEN_FOODS,25.64,0.31588
408,Store_20 - GROCERY_I,17.92,0.40711
409,Store_20 - GROCERY_II,41.13,0.02897
410,Store_20 - HARDWARE,70.34,0.07974
411,Store_20 - HOME_AND_KITCHEN_I,77.21,0.23831
