,Store/Product,MAPE,R^2
1063,Store_39 - CLEANING,74.3,0.19147
1064,Store_39 - DAIRY,18.18,0.11135
1065,Store_39 - DELI,25.02,0.21943
1066,Store_39 - EGGS,52.61,0.95296
1067,Store_39 - FROZEN_FOODS,30.6,0.2491
1068,Store_39 - GROCERY_I,12.53,0.2673
1069,Store_39 - GROCERY_II,21.36,0.13109
1070,Store_39 - HARDWARE,64.89,0.39537
1071,Store_39 - HOME_AND_KITCHEN_I,40.42,0.07078
1072,Store_39 - HOME_AND_KITCHEN_II,37.88,0.00704
1073,Store_39 - HOME_APPLIANCES,508.44,0.31542
1074,Store_39 - HOME_CARE,21.07,0.27416
1075,Store_39 - LADIESWEAR,48.07,0.51768
1076,Store_39 - LAWN_AND_GARDEN,36.92,0.01331
1077,Store_39 - LINGERIE,67.5,0.0913
1078,Store_39 - LIQUOR_WINE_BEER,36.42,0.7182
1079,Store_39 - MAGAZINES,97.4,0.15532
1080,Store_39 - MEATS,279.68,0.02112
1081,Store_39 - PERSONAL_CARE,21.09,0.3137
1082,Store_39 - PET_SUPPLIES,33.65,0.06433
1083,Store_39 - PLAYERS_AND_ELECTRONICS,76.87,0.00126
1084,Store_39 - POULTRY,13.97,0.41973
1085,Store_39 - PREPARED_FOODS,34.86,0.0094
1086,Store_39 - PRODUCE,17.55,0.6878
1087,Store_39 - SCHOOL_AND_OFFICE_SUPPLIES,90.32,0.0137
1088,Store_39 - SEAFOOD,31.32,0.11107
1089,Store_4 - AUTOMOTIVE,29.34,0.20322
1090,Store_4 - BABY_CARE,39.97,0.03004
1091,Store_4 - BEAUTY,68.06,0.6263
1092,Store_4 - BEVERAGES,18.47,0.50872
1093,Store_4 - BOOKS,,
1094,Store_4 - BREAD/BAKERY,22.69,0.34482
1095,Store_4 - CELEBRATION,68.3,0.59492
1096,Store_4 - CLEANING,22.56,0.26528
1097,Store_4 - DAIRY,11.95,0.75604
1098,Store_4 - DELI,21.81,0.34396
1099,Store_4 - EGGS,11.29,0.82503
1100,Store_4 - FROZEN_FOODS,29.06,0.35432
1101,Store_4 - GROCERY_I,14.58,0.47677
1102,Store_4 - GROCERY_II,23.33,0.07045
1103,Store_4 - HARDWARE,84.17,0.12917
1104,Store_4 - HOME_AND_KITCHEN_I,45.72,0.012
1105,Store_4 - HOME_AND_KITCHEN_II,62.0,0.08772
1106,Store_4 - HOME_APPLIANCES,537.66,0.1154
1107,Store_4 - HOME_CARE,37.03,0.13607
1108,Store_4 - LADIESWEAR,40.66,0.28508
1109,Store_4 - LAWN_AND_GARDEN,26.98,0.39034
1110,Store_4 - LINGERIE,45.82,0.25218
1111,Store_4 - LIQUOR_WINE_BEER,25.25,0.75744
1112,Store_4 - MAGAZINES,39.88,0.06467
1113,Store_4 - MEATS,17.02,0.42428
1114,Store_4 - PERSONAL_CARE,18.42,0.62903
1115,Store_4 - PET_SUPPLIES,65.19,0.28518
1116,Store_4 - PLAYERS_AND_ELECTRONICS,41.59,0.48685
1117,Store_4 - POULTRY,10.74,0.7444
1118,Store_4 - PREPARED_FOODS,26.76,0.25382
1119,Store_4 - PRODUCE,8.56,0.77797
1120,Store_4 - SCHOOL_AND_OFFICE_SUPPLIES,523.5,0.13699
1121,Store_4 - SEAFOOD,20.42,0.60735
1122,Store_40 - AUTOMOTIVE,113.98,0.05861
1123,Store_40 - BABY_CARE,429.88,0.10793
1124,Store_40 - BEAUTY,53.87,0.18526
1125,Store_40 - BEVERAGES,19.0,0.00485
1126,Store_40 - BOOKS,,
1127,Store_40 - BREAD/BAKERY,10.48,0.76975
1128,Store_40 - CELEBRATION,131.5,0.71796
1129,Store_40 - CLEANING,70.77,0.1665
1130,Store_40 - DAIRY,9.28,0.7387
1131,Store_40 - DELI,13.28,0.45112
1132,Store_40 - EGGS,15.88,0.53698
1133,Store_40 - FROZEN_FOODS,40.52,0.29608
1134,Store_40 - GROCERY_I,12.51,0.21751
1135,Store_40 - GROCERY_II,74.18,0.31608
1136,Store_40 - HARDWARE,55.07,0.00182
1137,Store_40 - HOME_AND_KITCHEN_I,31.03,0.12444
1138,Store_40 - HOME_AND_KITCHEN_II,22.48,0.03887
1139,Store_40 - HOME_APPLIANCES,97.19,0.19198
1140,Store_40 - HOME_CARE,35.42,0.0129
1141,Store_40 - LADIESWEAR,,
1142,Store_40 - LAWN_AND_GARDEN,203.68,0.00343
1143,Store_40 - LINGERIE,21.04,0.15792
1144,Store_40 - LIQUOR_WINE_BEER,109.87,0.23628
1145,Store_40 - MAGAZINES,48.52,0.22855
1146,Store_40 - MEATS,5.14,0.68992
1147,Store_40 - PERSONAL_CARE,17.44,0.32679
1148,Store_40 - PET_SUPPLIES,36.46,0.02008
1149,Store_40 - PLAYERS_AND_ELECTRONICS,38.41,0.07983
1150,Store_40 - POULTRY,17.32,0.26738
1151,Store_40 - PREPARED_FOODS,14.2,0.25464
1152,Store_40 - PRODUCE,10.0,0.94494
1153,Store_40 - SCHOOL_AND_OFFICE_SUPPLIES,,
1154,Store_40 - SEAFOOD,85.22,0.09505
1155,Store_41 - AUTOMOTIVE,28.3,0.1473
1156,Store_41 - BABY_CARE,,
1157,Store_41 - BEAUTY,41.39,0.01148
1158,Store_41 - BEVERAGES,48.25,0.17505
1159,Store_41 - BOOKS,,
1160,Store_41 - BREAD/BAKERY,10.85,0.78476
1161,Store_41 - CELEBRATION,93.46,0.48141
1162,Store_41 - CLEANING,41.71,0.552
1163,Store_41 - DAIRY,10.94,0.71508
1164,Store_41 - DELI,20.11,0.53587
1165,Store_41 - EGGS,15.1,0.573
1166,Store_41 - FROZEN_FOODS,25.19,0.48911
1167,Store_41 - GROCERY_I,12.23,0.59264
1168,Store_41 - GROCERY_II,55.93,0.45175
1169,Store_41 - HARDWARE,48.47,0.00139
1170,Store_41 - HOME_AND_KITCHEN_I,35.91,0.00224
1171,Store_41 - HOME_AND_KITCHEN_II,25.9,0.01012
1172,Store_41 - HOME_APPLIANCES,,
1173,Store_41 - HOME_CARE,25.14,0.46386
1174,Store_41 - LADIESWEAR,62.13,0.57714
1175,Store_41 - LAWN_AND_GARDEN,129.88,0.08027
1176,Store_41 - LINGERIE,91.8,0.06414
1177,Store_41 - LIQUOR_WINE_BEER,67.41,0.12748
1178,Store_41 - MAGAZINES,40.57,0.30394
1179,Store_41 - MEATS,12.52,0.80513
1180,Store_41 - PERSONAL_CARE,50.09,0.05437
1181,Store_41 - PET_SUPPLIES,26.03,0.04569
1182,Store_41 - PLAYERS_AND_ELECTRONICS,42.05,0.31292
1183,Store_41 - POULTRY,7.97,0.63319
1184,Store_41 - PREPARED_FOODS,12.39,0.41971
1185,Store_41 - PRODUCE,10.18,0.70915
1186,Store_41 - SCHOOL_AND_OFFICE_SUPPLIES,184.72,0.07062
1187,Store_41 - SEAFOOD,102.58,0.16292
1188,Store_42 - AUTOMOTIVE,77.42,0.37432
1189,Store_42 - BABY_CARE,,
1190,Store_42 - BEAUTY,43.47,0.56087
1191,Store_42 - BEVERAGES,35.94,0.02246
1192,Store_42 - BOOKS,,
1193,Store_42 - BREAD/BAKERY,27.68,0.0005
1194,Store_42 - CELEBRATION,95.8,0.00199
1195,Store_42 - CLEANING,19.52,0.01923
1196,Store_42 - DAIRY,16.03,0.01184
1197,Store_42 - DELI,23.8,0.0439
1198,Store_42 - EGGS,16.95,0.33278
1199,Store_42 - FROZEN_FOODS,23.08,0.07967
1200,Store_42 - GROCERY_I,18.25,0.01728
1201,Store_42 - GROCERY_II,36.39,0.00819
1202,Store_42 - HARDWARE,55.13,0.01468
1203,Store_42 - HOME_AND_KITCHEN_I,65.47,0.01194
1204,Store_42 - HOME_AND_KITCHEN_II,93.29,9e-05
1205,Store_42 - HOME_APPLIANCES,,
1206,Store_42 - HOME_CARE,29.35,0.03679
1207,Store_42 - LADIESWEAR,109.3,0.54047
1208,Store_42 - LAWN_AND_GARDEN,29.05,0.19412
1209,Store_42 - LINGERIE,260.69,0.02251
1210,Store_42 - LIQUOR_WINE_BEER,42.03,0.53401
1211,Store_42 - MAGAZINES,52.19,0.05597
1212,Store_42 - MEATS,13.83,0.27083
1213,Store_42 - PERSONAL_CARE,26.27,0.20973
1214,Store_42 - PET_SUPPLIES,54.79,0.21383
1215,Store_42 - PLAYERS_AND_ELECTRONICS,44.8,0.06848
1216,Store_42 - POULTRY,17.02,0.11835
1217,Store_42 - PREPARED_FOODS,46.12,0.1635
1218,Store_42 - PRODUCE,12.66,0.38354
1219,Store_42 - SCHOOL_AND_OFFICE_SUPPLIES,118.19,0.00121
1220,Store_42 - SEAFOOD,41.39,0.05822
1221,Store_43 - AUTOMOTIVE,45.71,0.00231
1222,Store_43 - BABY_CARE,248.15,0.01548
1223,Store_43 - BEAUTY,45.92,0.42975
1224,Store_43 - BEVERAGES,10.34,0.16588
1225,Store_43 - BOOKS,,
1226,Store_43 - BREAD/BAKERY,8.98,0.64561
1227,Store_43 - CELEBRATION,30.52,0.22485
1228,Store_43 - CLEANING,10.48,0.4244
1229,Store_43 - DAIRY,13.57,0.58169
1230,Store_43 - DELI,13.37,0.2126
1231,Store_43 - EGGS,26.02,0.70628
1232,Store_43 - FROZEN_FOODS,31.37,0.46569
1233,Store_43 - GROCERY_I,9.98,0.55031
1234,Store_43 - GROCERY_II,54.11,8e-05
1235,Store_43 - HARDWARE,99.81,0.00474
1236,Store_43 - HOME_AND_KITCHEN_I,32.41,0.03162
1237,Store_43 - HOME_AND_KITCHEN_II,40.27,0.00023
1238,Store_43 - HOME_APPLIANCES,52.38,0.16146
1239,Store_43 - HOME_CARE,10.81,0.48176
1240,Store_43 - LADIESWEAR,,
1241,Store_43 - LAWN_AND_GARDEN,31.51,0.34711
1242,Store_43 - LINGERIE,68.86,0.07504
1243,Store_43 - LIQUOR_WINE_BEER,63.97,0.24481
1244,Store_43 - MAGAZINES,92.97,0.09515
1245,Store_43 - MEATS,9.89,0.4994
1246,Store_43 - PERSONAL_CARE,15.91,0.24565
1247,Store_43 - PET_SUPPLIES,44.42,0.00289
1248,Store_43 - PLAYERS_AND_ELECTRONICS,117.99,0.04424
1249,Store_43 - POULTRY,24.97,0.07713
1250,Store_43 - PREPARED_FOODS,25.27,0.13455
1251,Store_43 - PRODUCE,15.01,0.56238
1252,Store_43 - SCHOOL_AND_OFFICE_SUPPLIES,64.55,0.33012
1253,Store_43 - SEAFOOD,77.37,0.30307
1254,Store_44 - AUTOMOTIVE,37.65,0.00843
1255,Store_44 - BABY_CARE,,
1256,Store_44 - BEAUTY,39.64,0.47594
1257,Store_44 - BEVERAGES,22.16,0.62202
1258,Store_44 - BOOKS,,
1259,Store_44 - BREAD/BAKERY,12.16,0.67967
1260,Store_44 - CELEBRATION,80.16,0.00272
1261,Store_44 - CLEANING,26.49,0.41828
1262,Store_44 - DAIRY,14.46,0.71748
1263,Store_44 - DELI,16.95,0.65779
1264,Store_44 - EGGS,10.7,0.85046
1265,Store_44 - FROZEN_FOODS,26.59,0.06974
1266,Store_44 - GROCERY_I,20.7,0.49077
1267,Store_44 - GROCERY_II,27.29,0.08245
1268,Store_44 - HARDWARE,43.02,0.04511
1269,Store_44 - HOME_AND_KITCHEN_I,28.04,0.16801
1270,Store_44 - HOME_AND_KITCHEN_II,25.62,0.04788
1271,Store_44 - HOME_APPLIANCES,409.04,0.04983
1272,Store_44 - HOME_CARE,36.13,0.61475
1273,Store_44 - LADIESWEAR,41.81,0.25531
1274,Store_44 - LAWN_AND_GARDEN,25.67,0.19008
1275,Store_44 - LINGERIE,47.74,0.55609
1276,Store_44 - LIQUOR_WINE_BEER,21.8,0.73338
1277,Store_44 - MAGAZINES,26.24,0.43958
1278,Store_44 - MEATS,11.74,0.87421
1279,Store_44 - PERSONAL_CARE,20.32,0.5233
1280,Store_44 - PET_SUPPLIES,26.63,0.48496
1281,Store_44 - PLAYERS_AND_ELECTRONICS,24.57,0.09458
1282,Store_44 - POULTRY,13.48,0.80312
1283,Store_44 - PREPARED_FOODS,10.31,0.02802
1284,Store_44 - PRODUCE,8.12,0.82584
1285,Store_44 - SCHOOL_AND_OFFICE_SUPPLIES,53.28,0.31327
1286,Store_44 - SEAFOOD,15.28,0.67673
1287,Store_45 - AUTOMOTIVE,20.48,0.38499
1288,Store_45 - BABY_CARE,,
1289,Store_45 - BEAUTY,32.59,0.587
1290,Store_45 - BEVERAGES,11.71,0.75335
1291,Store_45 - BOOKS,,
1292,Store_45 - BREAD/BAKERY,12.13,0.78158
1293,Store_45 - CELEBRATION,36.98,0.39926
1294,Store_45 - CLEANING,15.28,0.62146
1295,Store_45 - DAIRY,9.92,0.80569
1296,Store_45 - DELI,8.33,0.864
1297,Store_45 - EGGS,7.56,0.93279
1298,Store_45 - FROZEN_FOODS,35.38,0.18714
1299,Store_45 - GROCERY_I,9.09,0.76107
1300,Store_45 - GROCERY_II,58.93,0.14768
1301,Store_45 - HARDWARE,50.34,0.19326
1302,Store_45 - HOME_AND_KITCHEN_I,27.33,0.57997
1303,Store_45 - HOME_AND_KITCHEN_II,25.99,0.02625
1304,Store_45 - HOME_APPLIANCES,64.76,0.00185
1305,Store_45 - HOME_CARE,18.23,0.63899
1306,Store_45 - LADIESWEAR,151.04,0.55683
1307,Store_45 - LAWN_AND_GARDEN,35.3,0.50389
1308,Store_45 - LINGERIE,74.6,0.41623
1309,Store_45 - LIQUOR_WINE_BEER,16.84,0.82668
1310,Store_45 - MAGAZINES,21.06,0.72623
1311,Store_45 - MEATS,10.89,0.86674
1312,Store_45 - PERSONAL_CARE,13.36,0.75972
1313,Store_45 - PET_SUPPLIES,30.34,0.14202
1314,Store_45 - PLAYERS_AND_ELECTRONICS,24.75,0.28921
1315,Store_45 - POULTRY,9.28,0.88592
1316,Store_45 - PREPARED_FOODS,10.07,0.71491
1317,Store_45 - PRODUCE,11.93,0.65741
1318,Store_45 - SCHOOL_AND_OFFICE_SUPPLIES,45.87,0.03171
1319,Store_45 - SEAFOOD,12.09,0.7216
1320,Store_46 - AUTOMOTIVE,30.81,0.34401
1321,Store_46 - BABY_CARE,,
1322,Store_46 - BEAUTY,21.46,0.28988
1323,Store_46 - BEVERAGES,17.01,0.73925
1324,Store_46 - BOOKS,160.6,0.00739
1325,Store_46 - BREAD/BAKERY,16.74,0.68804
1326,Store_46 - CELEBRATION,39.85,0.29737
1327,Store_46 - CLEANING,25.22,0.61125
1328,Store_46 - DAIRY,18.24,0.723
1329,Store_46 - DELI,10.5,0.76223
1330,Store_46 - EGGS,16.75,0.78429
1331,Store_46 - FROZEN_FOODS,56.99,0.10637
1332,Store_46 - GROCERY_I,12.32,0.7223
1333,Store_46 - GROCERY_II,24.04,0.43973
1334,Store_46 - HARDWARE,55.45,0.41511
1335,Store_46 - HOME_AND_KITCHEN_I,43.49,0.08578
1336,Store_46 - HOME_AND_KITCHEN_II,35.95,0.38622
1337,Store_46 - HOME_APPLIANCES,95.95,0.0414
1338,Store_46 - HOME_CARE,25.46,0.75478
1339,Store_46 - LADIESWEAR,32.04,0.68222
1340,Store_46 - LAWN_AND_GARDEN,32.27,0.48516
1341,Store_46 - LINGERIE,55.49,0.46411
1342,Store_46 - LIQUOR_WINE_BEER,16.71,0.87021
1343,Store_46 - MAGAZINES,39.85,0.10726
1344,Store_46 - MEATS,11.74,0.85517
1345,Store_46 - PERSONAL_CARE,15.53,0.74452
1346,Store_46 - PET_SUPPLIES,28.77,0.52193
1347,Store_46 - PLAYERS_AND_ELECTRONICS,14.83,0.73116
1348,Store_46 - POULTRY,15.58,0.82102
1349,Store_46 - PREPARED_FOODS,18.87,0.34521
1350,Store_46 - PRODUCE,11.06,0.73633
1351,Store_46 - SCHOOL_AND_OFFICE_SUPPLIES,40.06,0.10137
1352,Store_46 - SEAFOOD,16.55,0.71088
1353,Store_47 - AUTOMOTIVE,46.45,0.36062
1354,Store_47 - BABY_CARE,,
1355,Store_47 - BEAUTY,17.09,0.44341
1356,Store_47 - BEVERAGES,11.86,0.6724
1357,Store_47 - BOOKS,,
1358,Store_47 - BREAD/BAKERY,8.66,0.77789
1359,Store_47 - CELEBRATION,38.92,0.17974
1360,Store_47 - CLEANING,15.32,0.61485
1361,Store_47 - DAIRY,15.24,0.67197
1362,Store_47 - DELI,12.3,0.64532
1363,Store_47 - EGGS,11.21,0.78046
1364,Store_47 - FROZEN_FOODS,24.57,0.25379
1365,Store_47 - GROCERY_I,16.17,0.39468
1366,Store_47 - GROCERY_II,28.08,0.13755
1367,Store_47 - HARDWARE,66.9,0.00411
1368,Store_47 - HOME_AND_KITCHEN_I,33.51,0.01185
1369,Store_47 - HOME_AND_KITCHEN_II,40.99,0.00095
1370,Store_47 - HOME_APPLIANCES,52.01,0.12399
1371,Store_47 - HOME_CARE,21.56,0.33724
1372,Store_47 - LADIESWEAR,48.5,0.3208
1373,Store_47 - LAWN_AND_GARDEN,42.45,0.14232
1374,Store_47 - LINGERIE,88.51,0.59059
1375,Store_47 - LIQUOR_WINE_BEER,22.69,0.6642
1376,Store_47 - MAGAZINES,35.28,0.56044
1377,Store_47 - MEATS,11.38,0.86433
1378,Store_47 - PERSONAL_CARE,16.64,0.66082
1379,Store_47 - PET_SUPPLIES,27.71,0.63629
1380,Store_47 - PLAYERS_AND_ELECTRONICS,27.87,0.42447
1381,Store_47 - POULTRY,14.79,0.71403
1382,Store_47 - PREPARED_FOODS,15.02,0.32578
1383,Store_47 - PRODUCE,10.47,0.71432
1384,Store_47 - SCHOOL_AND_OFFICE_SUPPLIES,80.87,0.06971
1385,Store_47 - SEAFOOD,12.27,0.68229
1386,Store_48 - AUTOMOTIVE,29.28,0.27742
1387,Store_48 - BABY_CARE,,
1388,Store_48 - BEAUTY,20.54,0.73893
1389,Store_48 - BEVERAGES,14.84,0.76152
1390,Store_48 - BOOKS,,
1391,Store_48 - BREAD/BAKERY,8.34,0.84667
1392,Store_48 - CELEBRATION,48.81,0.00023
1393,Store_48 - CLEANING,18.54,0.58426
1394,Store_48 - DAIRY,15.94,0.66118
1395,Store_48 - DELI,11.28,0.80604
1396,Store_48 - EGGS,14.8,0.79533
1397,Store_48 - FROZEN_FOODS,75.25,0.27965
1398,Store_48 - GROCERY_I,11.72,0.73428
1399,Store_48 - GROCERY_II,43.06,0.40765
1400,Store_48 - HARDWARE,193.46,0.32667
1401,Store_48 - HOME_AND_KITCHEN_I,23.65,0.44507
1402,Store_48 - HOME_AND_KITCHEN_II,383.88,0.00023
1403,Store_48 - HOME_APPLIANCES,96.3,0.00126
1404,Store_48 - HOME_CARE,21.29,0.46676
1405,Store_48 - LADIESWEAR,42.43,0.62969
1406,Store_48 - LAWN_AND_GARDEN,83.18,0.35065
1407,Store_48 - LINGERIE,60.84,0.03768
1408,Store_48 - LIQUOR_WINE_BEER,27.02,0.62063
1409,Store_48 - MAGAZINES,25.85,0.75486
1410,Store_48 - MEATS,9.93,0.81985
1411,Store_48 - PERSONAL_CARE,15.2,0.56086
1412,Store_48 - PET_SUPPLIES,20.41,0.63613
1413,Store_48 - PLAYERS_AND_ELECTRONICS,20.61,0.42296
1414,Store_48 - POULTRY,16.08,0.71539
1415,Store_48 - PREPARED_FOODS,19.61,0.37509
1416,Store_48 - PRODUCE,13.49,0.73056
1417,Store_48 - SCHOOL_AND_OFFICE_SUPPLIES,69.65,0.74643
1418,Store_48 - SEAFOOD,20.62,0.58817
1419,Store_49 - AUTOMOTIVE,37.83,0.00115
1420,Store_49 - BABY_CARE,,
1421,Store_49 - BEAUTY,30.58,0.46446
1422,Store_49 - BEVERAGES,13.27,0.60382
1423,Store_49 - BOOKS,,
1424,Store_49 - BREAD/BAKERY,10.75,0.37572
1425,Store_49 - CELEBRATION,37.88,0.00059
1426,Store_49 - CLEANING,17.21,0.32294
1427,Store_49 - DAIRY,13.3,0.38395
1428,Store_49 - DELI,11.56,0.58435
1429,Store_49 - EGGS,11.59,0.61479
1430,Store_49 - FROZEN_FOODS,20.64,0.14302
1431,Store_49 - GROCERY_I,9.22,0.41017
1432,Store_49 - GROCERY_II,16.58,0.00114
1433,Store_49 - HARDWARE,98.33,0.00152
1434,Store_49 - HOME_AND_KITCHEN_I,40.09,0.02286
1435,Store_49 - HOME_AND_KITCHEN_II,38.36,0.00961
1436,Store_49 - HOME_APPLIANCES,76.18,0.06354
1437,Store_49 - HOME_CARE,22.48,0.36912
1438,Store_49 - LADIESWEAR,87.42,0.1024
1439,Store_49 - LAWN_AND_GARDEN,39.76,0.28261
1440,Store_49 - LINGERIE,79.31,0.06298
1441,Store_49 - LIQUOR_WINE_BEER,16.8,0.82348
1442,Store_49 - MAGAZINES,38.14,0.02312
1443,Store_49 - MEATS,12.31,0.88824
1444,Store_49 - PERSONAL_CARE,12.57,0.5214
1445,Store_49 - PET_SUPPLIES,42.74,0.54595
1446,Store_49 - PLAYERS_AND_ELECTRONICS,28.96,0.28542
1447,Store_49 - POULTRY,14.18,0.64245
1448,Store_49 - PREPARED_FOODS,17.21,0.18735
1449,Store_49 - PRODUCE,8.95,0.7455
1450,Store_49 - SCHOOL_AND_OFFICE_SUPPLIES,37.81,0.2428
1451,Store_49 - SEAFOOD,13.31,0.55718
1452,Store_5 - AUTOMOTIVE,78.42,0.14035
1453,Store_5 - BABY_CARE,92.27,0.52811
1454,Store_5 - BEAUTY,37.51,0.5956
1455,Store_5 - BEVERAGES,17.9,0.33359
1456,Store_5 - BOOKS,,
1457,Store_5 - BREAD/BAKERY,10.44,0.25161
1458,Store_5 - CELEBRATION,22.25,0.30391
1459,Store_5 - CLEANING,25.09,0.37516
1460,Store_5 - DAIRY,8.9,0.51464
1461,Store_5 - DELI,9.83,0.37662
1462,Store_5 - EGGS,8.94,0.60214
1463,Store_5 - FROZEN_FOODS,25.49,0.2333
1464,Store_5 - GROCERY_I,7.75,0.58163
1465,Store_5 - GROCERY_II,111.74,0.70058
1466,Store_5 - HARDWARE,43.82,0.14274
1467,Store_5 - HOME_AND_KITCHEN_I,26.41,0.00103
1468,Store_5 - HOME_AND_KITCHEN_II,56.13,0.36729
1469,Store_5 - HOME_APPLIANCES,,
1470,Store_5 - HOME_CARE,39.58,0.2509
1471,Store_5 - LADIESWEAR,52.74,0.07748
1472,Store_5 - LAWN_AND_GARDEN,57.31,0.00363
1473,Store_5 - LINGERIE,47.78,0.00355
1474,Store_5 - LIQUOR_WINE_BEER,23.32,0.81788
1475,Store_5 - MAGAZINES,48.56,0.36158
1476,Store_5 - MEATS,11.24,0.40391
1477,Store_5 - PERSONAL_CARE,25.57,0.4451
1478,Store_5 - PET_SUPPLIES,102.11,0.04913
1479,Store_5 - PLAYERS_AND_ELECTRONICS,50.97,0.13597
1480,Store_5 - POULTRY,8.35,0.67911
1481,Store_5 - PREPARED_FOODS,11.61,0.16906
1482,Store_5 - PRODUCE,9.71,0.73604
1483,Store_5 - SCHOOL_AND_OFFICE_SUPPLIES,64.26,0.18186
1484,Store_5 - SEAFOOD,46.93,0.00087
1485,Store_50 - AUTOMOTIVE,46.73,0.00248
1486,Store_50 - BABY_CARE,,
1487,Store_50 - BEAUTY,28.87,0.34768
1488,Store_50 - BEVERAGES,14.79,0.5298
1489,Store_50 - BOOKS,,
1490,Store_50 - BREAD/BAKERY,15.03,0.23806
1491,Store_50 - CELEBRATION,36.61,0.09989
1492,Store_50 - CLEANING,31.23,0.45289
1493,Store_50 - DAIRY,15.61,0.47771
1494,Store_50 - DELI,15.26,0.41922
1495,Store_50 - EGGS,13.92,0.6384
1496,Store_50 - FROZEN_FOODS,50.43,0.0013
1497,Store_50 - GROCERY_I,10.02,0.58655
1498,Store_50 - GROCERY_II,133.84,0.1024
1499,Store_50 - HARDWARE,45.83,0.13656
1500,Store_50 - HOME_AND_KITCHEN_I,33.28,0.02858
1501,Store_50 - HOME_AND_KITCHEN_II,75.98,0.00164
1502,Store_50 - HOME_APPLIANCES,216.51,0.0353
1503,Store_50 - HOME_CARE,39.85,0.32033
1504,Store_50 - LADIESWEAR,197.79,0.34371
1505,Store_50 - LAWN_AND_GARDEN,31.78,0.18516
1506,Store_50 - LINGERIE,68.8,0.06021
1507,Store_50 - LIQUOR_WINE_BEER,18.84,0.73025
1508,Store_50 - MAGAZINES,36.54,0.22167
1509,Store_50 - MEATS,10.32,0.63402
1510,Store_50 - PERSONAL_CARE,12.32,0.73226
1511,Store_50 - PET_SUPPLIES,27.89,0.47791
1512,Store_50 - PLAYERS_AND_ELECTRONICS,23.94,0.42219
1513,Store_50 - POULTRY,15.21,0.36106
1514,Store_50 - PREPARED_FOODS,18.82,0.01295
1515,Store_50 - PRODUCE,12.49,0.34472
1516,Store_50 - SCHOOL_AND_OFFICE_SUPPLIES,64.42,0.30926
1517,Store_50 - SEAFOOD,41.77,0.34741
1518,Store_51 - AUTOMOTIVE,32.09,2e-05
1519,Store_51 - BABY_CARE,,
1520,Store_51 - BEAUTY,33.68,0.62234
1521,Store_51 - BEVERAGES,10.7,0.6882
1522,Store_51 - BOOKS,,
1523,Store_51 - BREAD/BAKERY,10.15,0.7006
1524,Store_51 - CELEBRATION,38.42,0.31968
1525,Store_51 - CLEANING,11.39,0.74245
1526,Store_51 - DAIRY,8.81,0.668
1527,Store_51 - DELI,11.19,0.71024
1528,Store_51 - EGGS,8.84,0.70218
1529,Store_51 - FROZEN_FOODS,18.99,0.50913
1530,Store_51 - GROCERY_I,9.09,0.69113
1531,Store_51 - GROCERY_II,53.21,0.00153
1532,Store_51 - HARDWARE,45.97,0.00045
1533,Store_51 - HOME_AND_KITCHEN_I,52.79,0.28777
1534,Store_51 - HOME_AND_KITCHEN_II,60.58,0.00358
1535,Store_51 - HOME_APPLIANCES,204.91,0.21087
1536,Store_51 - HOME_CARE,28.91,0.43687
1537,Store_51 - LADIESWEAR,63.18,0.78979
1538,Store_51 - LAWN_AND_GARDEN,21.05,0.32284
1539,Store_51 - LINGERIE,69.11,0.00289
1540,Store_51 - LIQUOR_WINE_BEER,23.6,0.71308
1541,Store_51 - MAGAZINES,29.67,0.30123
1542,Store_51 - MEATS,9.58,0.92661
1543,Store_51 - PERSONAL_CARE,19.77,0.59659
1544,Store_51 - PET_SUPPLIES,36.12,0.04881
1545,Store_51 - PLAYERS_AND_ELECTRONICS,68.24,0.02686
1546,Store_51 - POULTRY,21.22,0.61088
1547,Store_51 - PREPARED_FOODS,15.71,0.08883
1548,Store_51 - PRODUCE,9.83,0.82848
1549,Store_51 - SCHOOL_AND_OFFICE_SUPPLIES,125.59,0.10932
1550,Store_51 - SEAFOOD,18.99,0.57524
1551,Store_52 - AUTOMOTIVE,39.59,0.50013
1552,Store_52 - BABY_CARE,,
1553,Store_52 - BEAUTY,31.51,0.22641
1554,Store_52 - BEVERAGES,19.1,0.4681
1555,Store_52 - BOOKS,,
1556,Store_52 - BREAD/BAKERY,15.2,0.53802
1557,Store_52 - CELEBRATION,40.14,0.0321
1558,Store_52 - CLEANING,13.04,0.2588
1559,Store_52 - DAIRY,11.72,0.42495
1560,Store_52 - DELI,11.83,0.53909
1561,Store_52 - EGGS,9.0,0.57897
1562,Store_52 - FROZEN_FOODS,24.6,0.65154
1563,Store_52 - GROCERY_I,18.95,0.44038
1564,Store_52 - GROCERY_II,46.1,0.24623
1565,Store_52 - HARDWARE,84.3,0.00218
1566,Store_52 - HOME_AND_KITCHEN_I,42.28,0.07176
1567,Store_52 - HOME_AND_KITCHEN_II,28.46,0.08582
1568,Store_52 - HOME_APPLIANCES,127.21,0.06976
1569,Store_52 - HOME_CARE,10.95,0.57197
1570,Store_52 - LADIESWEAR,27.82,0.58433
1571,Store_52 - LAWN_AND_GARDEN,24.68,0.48335
1572,Store_52 - LINGERIE,41.34,0.00014
1573,Store_52 - LIQUOR_WINE_BEER,20.68,0.55019
1574,Store_52 - MAGAZINES,45.96,0.00016
